Name,Field,Email Status,X / Twitter,LinkedIn,Instagram,Notes
Harlo Holmes,Press Freedom,Sent — likely delivered,@harlo,linkedin.com/in/harloholmes,,FPF CISO — very active on X
David Lublin,Press Freedom,Corrected → dlublin@freedom.press,@david_lublin,linkedin.com/in/davidlublin,,SecureDrop lead
Micah Lee,Press Freedom,Sent — likely delivered,@micahflee,linkedin.com/in/micah-lee,,Very active on X — direct DM likely to land
Logan Williams,Investigative Journalism,Sent — likely delivered,@lhwilliams5,linkedin.com/in/logan-williams-a3203998,,Bellingcat — responds to X DMs
Justin Galvin,Investigative Journalism,Sent — uncertain,@jgalvin,linkedin.com/in/justingalvin,,Try LinkedIn InMail
Aatishya Verma,Press Freedom,Sent — uncertain,,linkedin.com/in/aatishya,,CPJ — LinkedIn most active
Erik De Pasquale,Press Freedom,Sent — uncertain,,linkedin.com/in/erik-de-pasquale-a7a0a3a2,,RSF — LinkedIn best bet
Clare Robinson,Free Expression,Sent — uncertain,@clarearobinson,linkedin.com/in/clarearobinson,,PEN America — X active
Bernardo Jurema,Journalist Security,Sent — uncertain,@bjurema,linkedin.com/in/bjurema,,Forbidden Stories — X active
Cindy Cohn,Digital Rights,Sent — likely delivered,@CindyCohn,linkedin.com/in/cindycohn,,EFF Executive Director — X very active
Eva Galperin,Digital Rights,Sent — likely delivered,@evacide,linkedin.com/in/eva-galperin,,One of the most active security voices on X
Isabela Bagueros,Privacy Infrastructure,Sent — likely delivered,@isabela,linkedin.com/in/isabelabagueros,,Tor Project — X active
Gus Hosein,Privacy Policy,Sent — uncertain,@gushosein,linkedin.com/in/gushosein,,Privacy International — X active
Brett Solomon,Digital Rights,Sent — uncertain,@brettsolomon,linkedin.com/in/brett-solomon-a6a05a,,Access Now — X active
Bernie Krause,Bioacoustics,Sent — uncertain,,linkedin.com/in/bernie-krause,,Wild Sanctuary — older academic — try website contact form
Dr. Christopher Clark,Bioacoustics,Sent — likely delivered (institutional),,,,Cornell Lab — institutional email crc10@cornell.edu most reliable
Dr. Peter Tyack,Marine Acoustics,Sent — likely delivered (institutional),,,,St Andrews SMRU — institutional email plt@st-andrews.ac.uk most reliable
Hildegard Westerkamp,Acoustic Ecology,Sent — uncertain,,,,Gmail sent — check bounce; try website hildegardwesterkamp.ca contact form
WFAE Board,Sound Research,Sent — general inbox,,,, General inbox — likely received
Dr. Paul Gardner-Stephen,Mesh Networking,Sent — likely delivered (institutional),@servalproject,linkedin.com/in/paulgardnerstephen,,Academic email highly reliable
Nico Pace,Community Networks,Sent — likely delivered,@nicopace,linkedin.com/in/nicopace,,Very active on X and Mastodon
Arantxa Serantes,Community Networks,Sent — general inbox (info@),,linkedin.com/in/arantxaserantes,,Try LinkedIn directly
Meshtastic Core Team,Mesh Networking,Sent — general inbox,@meshtastic,,,Active X/Twitter account — DM the team account
Daniel Kahn Gillmor,Civil Liberties,Sent — likely delivered (known public),@dkg_ligo,,,dkg@aclu.org is his long-known public email — highly reliable
